Temperature   	Mass18	Mass51	Mass67	Mass28
3.6750E+2	1.0395E-10	5.9796E-12	7.2135E-12	1.3279E-10
3.6779E+2	7.5602E-11	2.7644E-12	5.4405E-12	5.9450E-11
3.6821E+2	1.0395E-10	7.5918E-12	7.3909E-12	1.1712E-10
3.6830E+2	7.7976E-11	6.8349E-12	6.3061E-12	1.4691E-10
3.6891E+2	6.6051E-11	6.3344E-12	9.6245E-12	6.3593E-11
3.6922E+2	4.5695E-11	8.7159E-12	4.5720E-12	9.6010E-11
3.6936E+2	7.7658E-11	7.7504E-12	8.5018E-12	8.6151E-11
3.6960E+2	6.9778E-11	6.6579E-12	1.5738E-12	1.1633E-10
3.6995E+2	6.7936E-11	8.2668E-12	1.1056E-11	1.1645E-10
3.7043E+2	8.5677E-11	7.3903E-12	5.9920E-12	1.1311E-10
3.7086E+2	1.1695E-10	1.3529E-12	2.0924E-12	9.1749E-11
3.7112E+2	8.8556E-11	1.7297E-12	6.8254E-12	9.5146E-11
3.7154E+2	7.0399E-11	6.8122E-12	1.2772E-11	1.0982E-10
3.7160E+2	6.8861E-11	1.9252E-12	7.9349E-12	1.1438E-10
3.7193E+2	1.1973E-10	7.6242E-12	8.8798E-12	1.0879E-10
3.7245E+2	1.0391E-10	5.1144E-12	5.9465E-12	7.2663E-11
3.7271E+2	9.1648E-11	7.1814E-12	1.2188E-11	3.8915E-11
3.7303E+2	7.7976E-11	8.6672E-12	5.2835E-12	9.5809E-11
3.7320E+2	3.7385E-11	1.0444E-11	5.5908E-12	1.0289E-10
3.7348E+2	1.0585E-10	5.1360E-12	7.2927E-12	9.5014E-11
3.7384E+2	1.5563E-10	1.2894E-11	6.7442E-12	3.1515E-11
3.7439E+2	6.4528E-11	7.2839E-12	6.2785E-12	1.2869E-10
3.7460E+2	1.8636E-10	7.0421E-12	8.7716E-12	7.2427E-11
3.7488E+2	7.0679E-11	9.5522E-12	2.5158E-12	1.1676E-10
3.7503E+2	7.6776E-11	7.1049E-12	7.5973E-12	1.2733E-10
3.7547E+2	1.2460E-10	2.6602E-12	7.7272E-12	1.6945E-10
3.7577E+2	7.0718E-11	6.6185E-12	8.3001E-12	8.0972E-11
3.7597E+2	1.3677E-10	7.9177E-12	1.1307E-11	1.3986E-10
3.7655E+2	7.0917E-11	5.6438E-12	1.2182E-11	1.5198E-10
3.7691E+2	1.1441E-10	6.3512E-12	8.0319E-12	8.4751E-11
3.7718E+2	1.6931E-10	7.5758E-12	2.0375E-12	8.9555E-11
3.7728E+2	1.2121E-10	5.9564E-12	8.1896E-12	1.0209E-10
3.7758E+2	8.1090E-11	2.9945E-12	7.5671E-12	1.0879E-10
3.7803E+2	3.9368E-11	1.8885E-11	5.5019E-12	7.6556E-11
3.7850E+2	9.5819E-11	7.7593E-12	6.8580E-12	1.4299E-10
3.7875E+2	1.3665E-10	9.5418E-12	5.5880E-12	1.3946E-10
3.7884E+2	8.2883E-11	6.9452E-12	6.8930E-12	1.0375E-10
3.7914E+2	4.5695E-11	8.2762E-12	6.1744E-12	1.2557E-10
3.7973E+2	1.1176E-10	9.5350E-12	6.4983E-12	1.2004E-10
3.7974E+2	9.4008E-11	7.3932E-12	2.0632E-12	7.8694E-11
3.8027E+2	1.2424E-10	5.3286E-12	7.0316E-12	1.0799E-10
3.8059E+2	5.0244E-11	5.7399E-12	1.1194E-11	1.4120E-10
3.8087E+2	5.7900E-11	2.8271E-12	2.5808E-12	1.3206E-10
3.8105E+2	1.0439E-10	5.6998E-12	7.7837E-12	8.5870E-11
3.8117E+2	7.6503E-11	8.5932E-12	8.8501E-12	1.3200E-10
3.8160E+2	9.7519E-11	8.1430E-12	8.2267E-12	5.2158E-11
3.8193E+2	8.3025E-11	7.1863E-12	5.5534E-12	1.0336E-10
3.8219E+2	1.3170E-10	2.5895E-12	5.5564E-12	6.1532E-11
3.8252E+2	6.5091E-11	7.5458E-12	5.8277E-12	9.4606E-11
3.8294E+2	1.6219E-10	6.6337E-12	7.5845E-12	1.0248E-10
3.8315E+2	3.5686E-11	8.8955E-12	7.2972E-12	1.1662E-10
3.8361E+2	9.4037E-11	7.2462E-12	8.4055E-12	8.2074E-11
3.8391E+2	5.5724E-11	2.8110E-12	6.3789E-12	8.9092E-11
3.8424E+2	1.0477E-10	8.3730E-12	2.2257E-12	1.3015E-10
3.8440E+2	1.2077E-10	6.6619E-12	5.1731E-12	1.0072E-10
3.8459E+2	1.7569E-10	9.8716E-12	5.2830E-12	1.0603E-10
3.8509E+2	1.1367E-10	6.3934E-12	6.7014E-12	8.8988E-11
